poll_code,displayType,categories
poll_286,text,Dating and Relationship
poll_289,text,Other
poll_290,text,Other
poll_291,text,Hypothetical
poll_292,text,Other
poll_295,text,Other
poll_296,text,Lifestyle
poll_300,text,Celebrities
poll_306,text,Random
poll_306,text,Other
poll_308,text,Lifestyle
poll_309,text,Random
poll_309,text,Other
poll_310,text,Tech
poll_313,text,College Musings
poll_315,text,Hypothetical
poll_317,text,Lifestyle
poll_318,text,Internet
poll_320,text,Dating and Relationship
poll_321,text,Food and Drinks
poll_323,text,Lifestyle
poll_324,text,Dating and Relationship
poll_325,text,Other
poll_326,text,Other
poll_328,text,Lifestyle
poll_330,text,Would You Rather
poll_334,text,Travel and Geography
poll_335,text,Other
poll_338,text,Dating and Relationship
poll_340,text,Hypothetical
poll_341,text,Other
poll_342,text,Other
poll_343,text,Other
poll_344,text,Dating and Relationship
poll_347,text,Language and Names
poll_349,text,Hypothetical
poll_350,text,Dating and Relationship
poll_351,text,Hypothetical
poll_352,text,Other
poll_353,text,College Musings
poll_355,text,Dating and Relationship
poll_356,text,Dating and Relationship
poll_358,text,Other
poll_360,text,Dating and Relationship
poll_362,text,Other
poll_363,text,Other
#N/A,text,Random
#N/A,text,Dating and Relationship
poll_366,text,Other
poll_369,text,Dating and Relationship
poll_370,text,Other
poll_372,text,Would You Rather
poll_375,text,Other
poll_377,text,Random
poll_377,text,Dating and Relationship
poll_378,text,Dating and Relationship
poll_380,text,Random
poll_380,text,Other
poll_382,text,Dating and Relationship
poll_386,text,Food and Drinks
poll_387,text,Food and Drinks
poll_388,text,Travel and Geography
poll_390,text,Other
poll_391,text,Other
poll_392,text,Dating and Relationship
poll_394,text,Dating and Relationship
poll_396,text,Hypothetical
poll_397,text,Other
poll_398,text,Dating and Relationship
poll_400,text,Trivia
poll_403,text,Dating and Relationship
poll_404,text,Dating and Relationship
poll_405,text,Other
poll_406,text,Sneakers
poll_409,text,Other
poll_410,text,Philosophy and Religion
poll_411,text,Would You Rather
poll_412,text,Other
poll_414,text,Other
poll_415,text,Random
poll_415,text,Internet
poll_416,text,Dating and Relationship
poll_417,text,Shopping and Finance
poll_419,text,Other
poll_421,text,Current Events
poll_422,text,Trivia
poll_423,text,Other
poll_424,text,Hypothetical
poll_426,text,City Musings
poll_427,text,Bollywood
poll_428,text,Other
poll_429,text,Dating and Relationship
poll_430,text,College Musings
poll_431,text,Other
poll_432,text,Hobbies
poll_433,text,Dating and Relationship
poll_435,text,Other
poll_436,text,Travel and Geography
poll_438,text,Other
poll_439,text,Hypothetical
poll_440,text,Books And Comics
poll_441,text,Technology
poll_446,text,Dating and Relationship
poll_447,text,Other
poll_449,text,Other
poll_450,text,Other
poll_451,text,Hypothetical
poll_453,text,Random
poll_453,text,Hypothetical
poll_455,text,Dating and Relationship
poll_459,text,Dating and Relationship
poll_460,text,Celebrities
poll_462,text,Dating and Relationship
poll_468,text,Hobbies
poll_469,text,Random
poll_469,text,Lifestyle
poll_470,text,Dating and Relationship
poll_472,text,Dating and Relationship
poll_474,text,Hypothetical
poll_475,text,Random
poll_475,text,Other
poll_477,text,Other
poll_479,text,Random
poll_479,text,Other
poll_482,text,Shopping and Finance
poll_484,text,Hypothetical
poll_486,text,Dating and Relationship
poll_488,text,Hypothetical
poll_489,text,Random
poll_489,text,Other
poll_490,text,Dating and Relationship
poll_491,text,Other
poll_492,text,Hypothetical
poll_493,text,Philosophy and Religion
poll_495,text,Dating and Relationship
poll_496,text,Hypothetical
poll_498,text,Random
poll_498,text,Dating and Relationship
poll_499,text,Trivia
poll_500,text,Other
poll_501,text,Dating and Relationship
poll_507,text,Other
poll_508,text,Hypothetical
poll_511,text,Lifestyle
poll_512,text,Trivia
poll_513,text,Dating and Relationship
poll_514,text,Other
poll_515,text,Would You Rather
poll_519,text,Would You Rather
poll_522,text,Travel and Geography
poll_527,text,Hypothetical
poll_535,text,Random
poll_535,text,Other
poll_536,text,Other
poll_537,text,Other
poll_538,text,Random
poll_538,text,Lifestyle
poll_539,text,Trivia
poll_541,text,Hypothetical
poll_542,text,Lifestyle
poll_543,text,Other
poll_545,text,Current Events
poll_546,text,Other
poll_547,text,Other
poll_548,text,Other
poll_549,text,Dating and Relationship
poll_550,text,Dating and Relationship
poll_552,text,Other
poll_554,text,Dating and Relationship
poll_555,text,Other
poll_556,text,Hypothetical
poll_557,text,Other
poll_565,text,Other
poll_566,text,Hypothetical
poll_569,text,Other
poll_572,text,Shopping and Finance
poll_574,text,Would You Rather
poll_577,text,Dating and Relationship
poll_581,text,Dating and Relationship
#N/A,text,Random
#N/A,text,Hypothetical
poll_583,text,Sneakers
poll_589,text,Other
poll_592,text,Random
poll_592,text,Dating and Relationship
poll_596,text,Philosophy and Religion
poll_597,text,Other
poll_598,text,Dating and Relationship
poll_599,text,Other
poll_600,text,Movies and TV
poll_602,text,Other
poll_603,text,Sports
poll_605,text,Other
poll_606,text,Other
poll_607,text,Other
poll_608,text,Hobbies
poll_610,text,Other
poll_612,text,Dating and Relationship
poll_614,text,Lifestyle
poll_615,text,Tech
poll_620,text,Dating and Relationship
poll_622,text,Other
poll_624,text,Would You Rather
poll_625,text,College Musings
poll_626,text,Other
poll_627,text,Other
poll_628,text,Dating and Relationship
poll_629,text,Dating and Relationship
poll_631,text,Random
poll_631,text,Hypothetical
poll_634,text,Shopping and Finance
poll_636,text,Lifestyle
poll_638,text,Would You Rather
poll_641,text,Other
poll_642,text,Gaming
poll_645,text,Other
poll_646,text,Other
poll_647,text,Lifestyle
#N/A,text,Random
#N/A,text,Would You Rather
poll_652,text,Random
poll_652,text,Other
poll_653,text,Would You Rather
poll_655,text,City Musings
poll_656,text,Other
poll_659,text,Travel and Geography
poll_660,text,Philosophy and Religion
poll_661,text,Lifestyle
poll_662,text,City Musings
poll_669,text,Lifestyle
poll_670,text,Trivia
poll_671,text,Hypothetical
poll_673,text,Lifestyle
poll_675,text,Hobbies
poll_680,text,Other
poll_681,text,Lifestyle
poll_682,text,Other
poll_685,text,Dating and Relationship
poll_686,text,Lifestyle
poll_688,text,Dating and Relationship
poll_690,text,Would You Rather
poll_692,text,Other
#N/A,text,Random
#N/A,text,Dating and Relationship
poll_693,text,Movies and TV
poll_694,text,Lifestyle
poll_695,text,Shopping and Finance
poll_698,text,Dating and Relationship
poll_701,text,Other
poll_702,text,Random
poll_702,text,Other
poll_703,text,Internet
poll_705,text,Dating and Relationship
